,Unnamed: 0,Tree ID,Species,Latitude,Longitude,Year
11754,38403,49956,Casurina stricta :: Beefwood: Drooping She-Oak,37.7536696397315,-122.43644800428001,2003
11756,38420,50150,Jacaranda mimosifolia :: Jacaranda,37.7595505266559,-122.394188205843,2003
11759,38459,51613,Pyrus calleryana :: Ornamental Pear,37.7909254978604,-122.40715511826099,2005
11767,38514,10297,Hymenosporum flavum :: Sweet Shade,37.7721327712956,-122.43110199714701,2005
11802,38636,50430,Ulmus parvifolia :: Chinese Elm,37.76085292760639,-122.447758347691,2004
11815,38681,52712,Eucalyptus Spp :: Eucalyptus,37.745003324352204,-122.418779304454,2006
11832,38743,49754,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7135094918061,-122.409225395345,2003
11841,38753,49316,Pittosporum undulatum :: Victorian Box,37.777893836782205,-122.472717072682,2003
11846,38774,49460,Prunus cerasifera :: Cherry Plum,37.7791522000325,-122.486899421082,2003
11914,38987,41103,Magnolia grandiflora :: Southern Magnolia,37.7705981056327,-122.44696301221799,2004
11933,39026,52625,Psidium guajava :: Guava tree,37.728888682868096,-122.41170266546001,2006
11967,39141,49399,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7783306565586,-122.465235101695,2003
11972,39153,51437,Prunus cerasifera :: Cherry Plum,37.7785203841092,-122.501900888351,2004
11975,39157,84610,Prunus cerasifera :: Cherry Plum,37.779324545193504,-122.48583917997499,2006
12030,39291,9022,Tristaniopsis laurina :: Swamp Myrtle,37.7801474550205,-122.476723335864,2005
12036,39302,51262,Tristaniopsis laurina :: Swamp Myrtle,37.7781218716613,-122.47273517464599,2004
12049,39333,33647,Prunus x yedoensis :: Yoshino Cherry,37.7759632781281,-122.426710918693,2004
12050,39335,29159,Lophostemon confertus :: Brisbane Box,37.7861177338401,-122.412948968266,2005
12080,39420,52960,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.718779786301205,-122.462738399662,2006
12099,39456,52980,Leptospermum laevigatum :: Australian Tea Tree,37.720303313737105,-122.467252978798,2006
12118,39502,28413,Washingtonia robusta :: Mexican Fan Palm,37.731625696446706,-122.44729150596599,2003
12119,39503,16214,Washingtonia robusta :: Mexican Fan Palm,37.731625696446706,-122.44729150596599,2003
12143,39600,29094,Lophostemon confertus :: Brisbane Box,37.7846538326454,-122.41498661454399,2005
12155,39628,53071,Eucalyptus Spp :: Eucalyptus,37.7200976112635,-122.458502260031,2006
12156,39629,53072,Eucalyptus Spp :: Eucalyptus,37.7200976112635,-122.458502260031,2006
12202,39766,50531,Tristaniopsis laurina :: Swamp Myrtle,37.7307911986398,-122.400105395953,2003
12207,39782,52224,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.726306116832,-122.434946514296,2006
12221,39815,52519,Pyrus calleryana :: Ornamental Pear,37.7201034593997,-122.443895170628,2005
12260,39977,12253,Prunus serrulata :: Ornamental Cherry,37.7759275170107,-122.426094839447,2003
12277,39999,85689,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',37.780860073169706,-122.396600746047,2007
12324,40101,52419,Magnolia grandiflora :: Southern Magnolia,37.75385715992039,-122.43272628647199,2005
12325,40111,42239,Prunus cerasifera :: Cherry Plum,37.779697469197394,-122.408361341411,2003
12336,40160,78752,Maytenus boaria :: Mayten,37.7790211784833,-122.495326836569,2007
12357,40216,52153,Agonis flexuosa 'After Dark' :: Peppermint willow 'After Dark',37.7417773752369,-122.38942127378701,2005
12359,40218,50785,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.72033060925639,-122.435875299,2004
12364,40235,13591,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,37.790484170826396,-122.399621379879,2004
12365,40238,13586,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,37.790484170826396,-122.399621379879,2004
12377,40270,51887,Lophostemon confertus :: Brisbane Box,37.7780643426854,-122.423307034713,2005
12379,40272,51888,Lophostemon confertus :: Brisbane Box,37.7780643426854,-122.423307034713,2005
12380,40273,51885,Lophostemon confertus :: Brisbane Box,37.7780643426854,-122.423307034713,2005
12387,40300,48963,Pittosporum undulatum :: Victorian Box,37.7091740273275,-122.434436461075,2003
12393,40325,15844,Tristaniopsis laurina :: Swamp Myrtle,37.7147088643879,-122.44238893209999,2005
12400,40333,22344,Tristania conferta ::,37.729821729988,-122.392281780639,2007
12409,40351,28892,Callistemon citrinus :: Lemon Bottlebrush,37.7793470888229,-122.397632224368,2006
12419,40383,52108,Magnolia grandiflora :: Southern Magnolia,37.7776009390586,-122.42536716484899,2005
12423,40397,15845,Tristaniopsis laurina :: Swamp Myrtle,37.7147492718481,-122.442330701002,2005
12479,40558,51324,Metrosideros excelsa :: New Zealand Xmas Tree,37.721911006766206,-122.45842973267,2004
12492,40587,52457,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',37.778343715915206,-122.47045376013901,2005
12531,40701,23181,Lophostemon confertus :: Brisbane Box,37.7803536757274,-122.420293249536,2005
12532,40703,23183,Eucalyptus globulus :: Blue Gum,37.780702551515496,-122.42037059124901,2005
12555,40811,52634,Auranticarpa rhombifolia :: Queensland Pittosporum,37.748803929990295,-122.436558543997,2006
12560,40844,49142,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7791475672211,-122.495338355641,2003
12578,40916,69895,Pinus radiata :: Monterey Pine,37.742100473688396,-122.41180845469201,2003
12580,40929,28859,Lophostemon confertus :: Brisbane Box,37.790256890180295,-122.39807285434601,2006
12581,40930,28858,Lophostemon confertus :: Brisbane Box,37.790256890180295,-122.39807285434601,2006
12586,40941,51025,Eriobotrya deflexa :: Bronze Loquat,37.7719199923513,-122.423774718207,2004
12587,40943,52406,Ginkgo biloba :: Maidenhair Tree,37.742960059729704,-122.420884755481,2005
12588,40944,23629,Lophostemon confertus :: Brisbane Box,37.7428526721077,-122.420633984678,2003
12608,41020,82366,Trachycarpus fortunei :: Windmill Palm,37.7293979446509,-122.416122630059,2005
12611,41035,82435,Pinus radiata :: Monterey Pine,37.7477981742678,-122.405971235802,2005
12614,41055,51757,Prunus serrulata :: Ornamental Cherry,37.736381976922104,-122.438790115279,2005
12629,41109,65666,Metrosideros excelsa :: New Zealand Xmas Tree,37.7439155238689,-122.452453034127,2005
12643,41182,53015,Prunus cerasifera :: Cherry Plum,37.749290780478795,-122.463963566443,2006
12644,41183,53016,Prunus cerasifera :: Cherry Plum,37.749290780478795,-122.463963566443,2006
12645,41184,53017,Prunus cerasifera :: Cherry Plum,37.749290780478795,-122.463963566443,2006
12651,41209,50263,Schinus terebinthifolius :: Brazilian Pepper,37.7361088859688,-122.420356925459,2003
12652,41212,10065,Tristaniopsis laurina :: Swamp Myrtle,37.76280631168579,-122.423802219811,2006
12669,41245,50713,Tristaniopsis laurina :: Swamp Myrtle,37.7156075335369,-122.44154508293501,2004
12675,41262,51686,Magnolia grandiflora :: Southern Magnolia,37.7744170070757,-122.42789132990102,2005
12681,41276,16928,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,37.7743832165186,-122.42846496781999,2007
12693,41316,52466,Magnolia grandiflora :: Southern Magnolia,37.7785389545233,-122.46725059513099,2005
12696,41322,51309,Prunus x yedoensis :: Yoshino Cherry,37.778018011513296,-122.479139410746,2004
12698,41328,51274,Prunus cerasifera :: Cherry Plum,37.778114833259,-122.47592099231701,2004
12727,41396,52955,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',37.72005118470771,-122.465273429637,2006
12742,41432,15830,Tristaniopsis laurina :: Swamp Myrtle,37.715973625047205,-122.44126516177,2007
12751,41451,43301,Jacaranda mimosifolia :: Jacaranda,37.7598497302126,-122.39520105018299,2005
12758,41482,28142,Acer rubrum :: Red Maple,37.7408132650395,-122.418214132589,2005
12759,41483,28141,Acer rubrum :: Red Maple,37.7408132650395,-122.418214132589,2005
12766,41497,52952,Tristaniopsis laurina :: Swamp Myrtle,37.72902169978529,-122.435371693952,2006
12783,41552,49052,Prunus cerasifera :: Cherry Plum,37.7260230798326,-122.458054566673,2003
12784,41553,34179,Prunus cerasifera :: Cherry Plum,37.7260230798326,-122.458054566673,2003
12793,41585,46360,Ginkgo biloba :: Maidenhair Tree,37.7779021128043,-122.48235038480101,2004
12807,41622,47454,Taxus baccata :: Irish Yew,37.777229820310204,-122.50346371712,2005
12820,41668,34356,Prunus cerasifera :: Cherry Plum,37.7354294153465,-122.43058850605,2005
12821,41669,236764,Prunus cerasifera :: Cherry Plum,37.735398565789,-122.43059925984801,2005
12826,41679,28546,Washingtonia robusta :: Mexican Fan Palm,37.716790788359795,-122.440641159733,2003
12834,41706,49878,Myoporum laetum :: Myoporum,37.77080649578671,-122.44718771644301,2003
12840,41732,51473,Jacaranda mimosifolia :: Jacaranda,37.7369522423723,-122.414027160396,2004
12841,41733,49891,Leptospermum scoparium  'Helene Strybing' :: Helene Strybing New Zealand Tea Tree,37.732996003551705,-122.449160927486,2003
12842,41736,87052,Corymbia ficifolia :: Red Flowering Gum,37.783875296894294,-122.45491032952499,2007
12862,41792,29971,Corymbia ficifolia :: Red Flowering Gum,37.728651142992796,-122.472152796239,2007
12868,41798,30058,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12869,41799,30059,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12870,41800,30060,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12871,41801,30062,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12872,41802,30065,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12873,41803,30063,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12874,41804,30055,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12875,41805,30057,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
12876,41806,30064,Pinus radiata :: Monterey Pine,37.7124705349467,-122.46742958077101,2007
