,Unnamed: 0,Tree ID,Species,Latitude,Longitude,Year
2,14,102172,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7615584024391,-122.440978567809,2012
3,15,102171,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7615584024391,-122.440978567809,2012
5,21,82730,Tristaniopsis laurina :: Swamp Myrtle,37.7473055380861,-122.405201987981,2008
28,117,82709,Casurina stricta :: Beefwood: Drooping She-Oak,37.715135250412104,-122.38856436791401,2009
83,328,103814,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.787289668217795,-122.41980969397,2009
84,329,103815,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7873043685578,-122.419711106691,2009
85,331,10245,Pyrus calleryana :: Ornamental Pear,37.7728818463732,-122.42380501439399,2008
90,360,103788,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.788327510680205,-122.41938487643999,2009
91,361,103790,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.788327510680205,-122.41938487643999,2009
92,362,103789,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.788327510680205,-122.41938487643999,2009
100,389,3912,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7673852004846,-122.435543015361,2010
101,391,3923,Lophostemon confertus :: Brisbane Box,37.7673852004846,-122.435543015361,2011
103,395,3915,Magnolia sargentiana 'Robusta' :: Robusta Magnolia,37.7673852004846,-122.435543015361,2010
104,396,82306,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.767385414181106,-122.435539566136,2010
105,397,3910,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7673852004846,-122.435543015361,2010
106,398,3911,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7673852004846,-122.435543015361,2010
107,400,3914,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7673852004846,-122.435543015361,2010
108,401,3925,Magnolia sargentiana 'Robusta' :: Robusta Magnolia,37.7673852004846,-122.435543015361,2010
121,425,95092,Lophostemon confertus :: Brisbane Box,37.777519721304,-122.413138294803,2010
143,552,68112,Crataegus phaenopyrum :: Washington Hawthorn,37.7451509909812,-122.414088190825,2011
145,590,134567,Platanus x hispanica :: Sycamore: London Plane,37.778466176805296,-122.417399738421,2011
146,592,134568,Platanus x hispanica :: Sycamore: London Plane,37.778520694605795,-122.41702848568501,2009
148,598,135979,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.788227554109504,-122.419939904112,2009
149,599,135978,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.788212853775896,-122.420019889812,2009
174,717,87710,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.719693336177,-122.47227102474,2008
175,718,24457,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.719692749400394,-122.47225375374799,2008
176,719,87707,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.719693336177,-122.47227102474,2008
178,721,87709,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.719693336177,-122.47227102474,2008
181,725,87708,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.719693336177,-122.47227102474,2008
182,726,11761,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.719692749400394,-122.47225375374799,2008
183,727,87706,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.719693336177,-122.47227102474,2008
184,731,20129,Tristaniopsis laurina :: Swamp Myrtle,37.7756205244718,-122.432328548686,2008
185,738,93296,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,37.7560828122733,-122.42721008996901,2008
186,743,92794,Acacia decurrens :: Acacia: Silver Wattle,37.754994780604704,-122.398626914107,2009
187,744,50013,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7549286606329,-122.398623329429,2009
188,745,50012,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7548814318474,-122.398614966606,2009
201,770,103829,Magnolia grandiflora :: Southern Magnolia,37.7855600426056,-122.41977037472,2009
202,771,103828,Syagrus romanzoffianum :: Queen Palm,37.785666365842296,-122.419783733241,2009
203,772,103830,Magnolia grandiflora :: Southern Magnolia,37.785503486943604,-122.419758925448,2009
211,802,96011,Ligustrum lucidum :: Glossy Privet,37.7918350666884,-122.410112610112,2011
212,803,96006,Ligustrum lucidum :: Glossy Privet,37.791773502706796,-122.41058056783702,2011
213,804,96013,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.791795397820394,-122.410795730189,2011
214,805,96007,Ligustrum lucidum :: Glossy Privet,37.791788061820704,-122.41048002812599,2011
215,806,96015,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.791795397820394,-122.410795730189,2011
216,807,96012,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.791795397820394,-122.410795730189,2011
217,808,96010,Ligustrum lucidum :: Glossy Privet,37.7918250833144,-122.410185778057,2011
218,809,96009,Ligustrum lucidum :: Glossy Privet,37.7918121879409,-122.41028421245701,2011
219,810,96014,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.791795397820394,-122.410795730189,2011
220,811,96008,Ligustrum lucidum :: Glossy Privet,37.791801372693,-122.410367907846,2011
221,814,88425,Lophostemon confertus :: Brisbane Box,37.7861122979784,-122.44004894455799,2008
250,919,5562,Magnolia grandiflora :: Southern Magnolia,37.7535687642998,-122.425172939503,2012
286,1036,98270,Ulmus parvifolia :: Chinese Elm,37.7562208239384,-122.40858435969801,2012
287,1037,98273,Ulmus parvifolia :: Chinese Elm,37.7562208239384,-122.40858435969801,2012
288,1038,98271,Ulmus parvifolia :: Chinese Elm,37.7562208239384,-122.40858435969801,2012
289,1039,98272,Ulmus parvifolia :: Chinese Elm,37.7562208239384,-122.40858435969801,2012
290,1042,99441,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7182229956809,-122.39307903224501,2012
291,1043,99442,Magnolia grandiflora :: Southern Magnolia,37.7182229956809,-122.39307903224501,2012
292,1044,99440,Magnolia grandiflora :: Southern Magnolia,37.7182229956809,-122.39307903224501,2012
293,1045,99439,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7182229956809,-122.39307903224501,2012
304,1075,88757,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.785814090273796,-122.41966893082501,2008
305,1076,88756,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.785814090273796,-122.41966893082501,2008
306,1077,88751,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.785814090273796,-122.41966893082501,2008
307,1078,88753,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.785814090273796,-122.41966893082501,2008
308,1079,88752,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.785814090273796,-122.41966893082501,2008
309,1080,88754,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.785814090273796,-122.41966893082501,2008
310,1081,88750,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.785814090273796,-122.41966893082501,2008
311,1082,88749,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,37.785814090273796,-122.41966893082501,2008
312,1083,88755,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.785814090273796,-122.41966893082501,2008
313,1084,88758,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.785814090273796,-122.41966893082501,2008
325,1106,93247,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,37.7550113653552,-122.427840341146,2008
326,1107,93248,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,37.7550113653552,-122.427840341146,2008
327,1108,93245,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,37.7550113653552,-122.427840341146,2008
328,1109,93246,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,37.7550113653552,-122.427840341146,2008
335,1148,103832,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7855373621017,-122.41881763042299,2009
336,1149,103831,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7855373621017,-122.41881763042299,2009
337,1150,103833,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7855373621017,-122.41881763042299,2009
349,1168,103803,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7873690504995,-122.419569735969,2009
350,1169,103804,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7873558205593,-122.419660883156,2009
351,1170,103805,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7873499398897,-122.41973342786999,2009
352,1171,103806,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.787344060129705,-122.419813414468,2009
385,1328,83304,Magnolia grandiflora 'D.D. Blanchard' :: D.D. Blanchard Southern Magnolia,37.73079448418179,-122.392836804394,2009
386,1329,83298,Magnolia grandiflora 'D.D. Blanchard' :: D.D. Blanchard Southern Magnolia,37.73079448418179,-122.392836804394,2009
387,1330,83305,Acer x freemanii :: Freeman Maple,37.730874742964794,-122.392803536763,2009
394,1372,135981,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7882804756017,-122.419991987453,2009
395,1373,135980,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7882922360442,-122.419941763898,2009
396,1374,135982,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.788280475609795,-122.420055232261,2009
413,1438,84636,Acer buergeranum :: Trident Maple,37.77874392111679,-122.40514867365299,2008
433,1487,91265,Acacia stenophylla :: Shoestring Acacia,37.7553954849101,-122.423245325469,2008
434,1491,88746,Magnolia grandiflora :: Southern Magnolia,37.7856719713322,-122.41960795714199,2008
435,1492,88745,Magnolia grandiflora :: Southern Magnolia,37.7855866040712,-122.419590772008,2008
436,1493,88747,Magnolia grandiflora :: Southern Magnolia,37.785736966225706,-122.419617776861,2008
437,1494,88748,Magnolia grandiflora :: Southern Magnolia,37.785803901879504,-122.41963373353201,2008
438,1495,88744,Magnolia grandiflora :: Southern Magnolia,37.785545861205,-122.41958340744199,2008
451,1524,52189,Liquidambar formosana :: Chinese Sweet Gum,37.7641087462545,-122.44736639531901,2008
452,1528,93297,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,37.755135063976205,-122.42766710326099,2008
459,1571,96067,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,37.7527432860874,-122.415150327914,2011
461,1588,48993,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7562708084457,-122.410314721725,2009
468,1613,57076,Ulmus parvifolia :: Chinese Elm,37.7581205423321,-122.39032796374501,2011
470,1628,84009,Eriobotrya deflexa :: Bronze Loquat,37.7203643356392,-122.401734134722,2008
471,1629,88149,Eriobotrya deflexa :: Bronze Loquat,37.751038710678394,-122.44404604508699,2008
503,1758,91264,Acacia stenophylla :: Shoestring Acacia,37.7555190742141,-122.423257128608,2008
504,1762,10349,Tristaniopsis laurina :: Swamp Myrtle,37.7711665324235,-122.438395689895,2012
532,1848,95808,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,37.757510570168705,-122.401975028944,2011
549,1912,91263,Acacia stenophylla :: Shoestring Acacia,37.7556426634019,-122.42326893177601,2008
553,1919,58887,Syagrus romanzoffianum :: Queen Palm,37.753481207856204,-122.43215757272301,2008
561,1980,26789,Prunus serrulata :: Ornamental Cherry,37.7119288389604,-122.40545390649599,2010
562,1981,83391,Acer rubrum 'October Glory' :: Red October Glory Maple,37.7308289302696,-122.39282892223301,2009
563,1982,44030,Schinus terebinthifolius :: Brazilian Pepper,37.7727267448872,-122.416837272729,2009
567,1986,44031,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.772533203581204,-122.41650514858699,2009
569,1993,82872,Metrosideros excelsa :: New Zealand Xmas Tree,37.729449309437896,-122.42056966428001,2009
571,2009,87861,Lagunaria patersonii :: Primrose Tree,37.7598296396585,-122.441402573572,2008
572,2010,87860,Melaleuca quinquenervia :: Cajeput,37.7598296396585,-122.441402573572,2008
573,2011,55549,Melaleuca linariifolia :: Flaxleaf Paperbark,37.7597395637692,-122.441446447904,2008
598,2069,91029,Pyrus calleryana 'Chanticleer' :: Ornamental Pear Tree 'Chanticleer',37.7577090789947,-122.416702122814,2008
604,2101,91786,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,37.777947073022105,-122.403314772772,2010
605,2102,10150,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',37.7557347445795,-122.423359124725,2012
615,2125,80099,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.795420251935205,-122.410881806457,2009
636,2170,93018,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.805297983444,-122.42303552725402,2010
638,2181,78613,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7954405342146,-122.410945088249,2009
656,2230,95571,Geijera parviflora :: Australian Willow,37.753646751876296,-122.43216414381901,2011
664,2244,95368,Afrocarpus gracilior :: Fern Pine,37.751557160755205,-122.443806713729,2011
668,2254,24168,Prunus serrulata :: Ornamental Cherry,37.736427970914,-122.38570241578998,2008
675,2300,9952,Platanus x hispanica :: Sycamore: London Plane,37.778446303098505,-122.418016611499,2011
676,2302,9953,Platanus x hispanica :: Sycamore: London Plane,37.778446303098505,-122.418016611499,2009
682,2314,95590,Acacia baileyana :: Bailey's Acacia,37.7102953437444,-122.432798364191,2009
713,2431,91018,Platanus x hispanica 'Columbia' :: Columbia Hybrid Plane Tree,37.771548477703,-122.422385159744,2008
726,2524,92818,Ficus nitida :: Laurel Fig,37.7350901820695,-122.453216393363,2009
735,2549,88519,Maytenus boaria :: Mayten,37.730665287621996,-122.458021400084,2008
742,2573,96066,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,37.753127300999395,-122.415184444517,2011
753,2615,88118,Afrocarpus gracilior :: Fern Pine,37.7516991466356,-122.44372532203501,2008
754,2619,88464,Pyrus kawakamii :: Evergreen Pear,37.7384035424873,-122.389575486471,2008
755,2620,88466,Pyrus kawakamii :: Evergreen Pear,37.7384035424873,-122.389575486471,2008
756,2621,88465,Lagunaria patersonii :: Primrose Tree,37.7384035424873,-122.389575486471,2008
757,2622,88463,Lagunaria patersonii :: Primrose Tree,37.7384035424873,-122.389575486471,2008
764,2639,82752,Lophostemon confertus :: Brisbane Box,37.773947386589704,-122.41551847362,2009
768,2648,96033,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.790060229456294,-122.41560239383301,2011
784,2693,89348,Tristaniopsis laurina :: Swamp Myrtle,37.7187004128037,-122.39212978087,2008
800,2735,101874,Magnolia grandiflora :: Southern Magnolia,37.7567992582457,-122.408622400801,2012
802,2740,91259,Acacia stenophylla :: Shoestring Acacia,37.755920739203,-122.423295489065,2008
834,2914,98802,Ginkgo biloba :: Maidenhair Tree,37.7947472579955,-122.408825891367,2012
835,2916,98803,Ginkgo biloba :: Maidenhair Tree,37.794749768385294,-122.40882353278799,2012
836,2917,98804,Ginkgo biloba :: Maidenhair Tree,37.794049298296706,-122.408332474088,2012
837,2919,98805,Ginkgo biloba :: Maidenhair Tree,37.793986029186,-122.408864800763,2012
838,2930,98796,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,37.7940014192822,-122.40874722700701,2012
839,2931,98801,Ginkgo biloba :: Maidenhair Tree,37.794024789059996,-122.408540211182,2012
840,2933,98799,Ginkgo biloba :: Maidenhair Tree,37.794749768385294,-122.40882353278799,2012
841,2935,98798,Magnolia grandiflora :: Southern Magnolia,37.7939655093431,-122.409018439172,2012
842,2936,98800,Ginkgo biloba :: Maidenhair Tree,37.7940333389111,-122.408440670611,2012
843,2937,98797,Ginkgo biloba :: Maidenhair Tree,37.793975769724796,-122.408957127878,2012
866,3027,87378,Hymenosporum flavum :: Sweet Shade,37.7518452950477,-122.44372464805299,2008
869,3031,98792,Magnolia grandiflora :: Southern Magnolia,37.794749768385294,-122.40882353278799,2012
870,3063,90551,Eriobotrya deflexa :: Bronze Loquat,37.775204038621204,-122.46870687216001,2008
876,3069,95717,Tristaniopsis laurina :: Swamp Myrtle,37.7245291361369,-122.424195170047,2011
877,3070,95718,Lagunaria patersonii :: Primrose Tree,37.7245291361369,-122.424195170047,2011
878,3071,95721,Lagunaria patersonii :: Primrose Tree,37.7245291361369,-122.424195170047,2011
879,3072,95720,Lagunaria patersonii :: Primrose Tree,37.7245291361369,-122.424195170047,2011
880,3073,95722,Lagunaria patersonii :: Primrose Tree,37.7245291361369,-122.424195170047,2011
881,3074,95716,Tristaniopsis laurina :: Swamp Myrtle,37.7245291361369,-122.424195170047,2011
882,3075,95719,Lagunaria patersonii :: Primrose Tree,37.7245291361369,-122.424195170047,2011
885,3103,24364,Pyrus calleryana :: Ornamental Pear,37.769971471229994,-122.42214448149099,2008
890,3113,24477,Callistemon citrinus :: Lemon Bottlebrush,37.7373093148834,-122.43447219024401,2011
897,3129,82878,Metrosideros excelsa :: New Zealand Xmas Tree,37.72951208300471,-122.420496453173,2009
901,3139,88656,Ginkgo biloba 'Autumn Sentinel' :: Autumn Sentinel Ginkgo,37.7315282931893,-122.43250562955099,2008
