,Unnamed: 0,Tree ID,Species,Latitude,Longitude,Year
0,2,115737,Acer rubrum :: Red Maple,37.7377517864641,-122.46449593033,2016
19,68,109770,Olea Majestic Beauty ::,37.7323701819213,-122.393154495945,2015
30,130,108715,Pittosporum undulatum :: Victorian Box,37.7417445077158,-122.42986438956999,2016
68,304,115538,Crataegus laevigata :: English Hawthorn,37.7778703965252,-122.41892509804701,2016
69,305,115537,Crataegus laevigata :: English Hawthorn,37.7778703965252,-122.41892509804701,2016
70,306,115539,Crataegus laevigata :: English Hawthorn,37.7778703965252,-122.41892509804701,2016
71,307,115540,Crataegus laevigata :: English Hawthorn,37.7778703965252,-122.41892509804701,2016
72,308,115536,Crataegus laevigata :: English Hawthorn,37.7778703965252,-122.41892509804701,2016
73,318,108412,Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,37.7808236983351,-122.415569883338,2015
74,319,108414,Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,37.7808236983351,-122.415569883338,2015
75,320,108411,Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,37.7808236983351,-122.415569883338,2015
76,321,108413,Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,37.7808236983351,-122.415569883338,2015
77,322,108408,Metrosideros excelsa :: New Zealand Xmas Tree,37.7812898924571,-122.41551621722601,2015
78,323,108407,Metrosideros excelsa :: New Zealand Xmas Tree,37.7813494167874,-122.415528476779,2015
79,324,108406,Metrosideros excelsa :: New Zealand Xmas Tree,37.7814172463574,-122.41554073723302,2015
80,325,108405,Metrosideros excelsa :: New Zealand Xmas Tree,37.7814823069089,-122.41555124581001,2015
81,326,108410,Metrosideros excelsa :: New Zealand Xmas Tree,37.781198530314995,-122.41549695101801,2015
82,327,108409,Metrosideros excelsa :: New Zealand Xmas Tree,37.78123313714521,-122.41550570771601,2015
88,343,112085,Acer rubrum :: Red Maple,37.790527840543795,-122.396700174955,2015
89,344,112084,Acer rubrum :: Red Maple,37.790527840543795,-122.396700174955,2015
98,381,106311,Pinus canariensis :: Canary Island Pine,37.73289581695511,-122.49149816384899,2014
99,382,106310,Pinus canariensis :: Canary Island Pine,37.73289581695511,-122.49149816384899,2014
109,411,113586,Arbutus 'Marina' :: Hybrid Strawberry Tree,37.7342980459086,-122.403430493306,2015
119,423,95091,Lophostemon confertus :: Brisbane Box,37.777519721304,-122.413138294803,2013
120,424,28930,Lophostemon confertus :: Brisbane Box,37.7775294243446,-122.413126052308,2013
123,438,109499,Agonis flexuosa :: Peppermint Willow,37.7359945088656,-122.43418207236999,2015
141,502,108632,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,37.7623377695764,-122.440040482469,2014
147,593,251244,Platanus x hispanica :: Sycamore: London Plane,37.778441154342296,-122.41816626519301,2013
157,640,109310,Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,37.7440678610189,-122.41940989424101,2015
170,709,102708,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',37.7395381878784,-122.39155157401501,2015
171,710,102709,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',37.7395381878784,-122.39155157401501,2015
209,782,106757,Cupressus macrocarpa :: Monterey Cypress,37.718812992515105,-122.395944254446,2014
224,866,109630,Lophostemon confertus :: Brisbane Box,37.788409486804106,-122.416690077626,2015
225,867,258371,Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,37.7287174922185,-122.414948012993,2017
226,868,258369,Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,37.7287174922185,-122.414948012993,2017
227,869,258370,Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,37.7287174922185,-122.414948012993,2017
239,891,253275,Pittosporum crassifolium :: Karo Tree,37.748797883078495,-122.43855223163901,2017
240,892,253276,Pittosporum crassifolium :: Karo Tree,37.748797883078495,-122.43855223163901,2017
241,893,95163,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,37.7786074207661,-122.438410176931,2016
260,936,108376,Pyrus kawakamii :: Evergreen Pear,37.7766548889563,-122.43220646236401,2015
261,937,110524,Pyrus kawakamii :: Evergreen Pear,37.7766548889563,-122.43220646236401,2015
262,940,7861,Pittosporum undulatum :: Victorian Box,37.7835590051167,-122.42272801205799,2014
263,945,105924,Tristaniopsis laurina :: Swamp Myrtle,37.7880856736468,-122.41656888184099,2014
273,997,136507,Platanus x hispanica :: Sycamore: London Plane,37.8029402046883,-122.41916681091298,2017
300,1069,118310,Callistemon citrinus :: Lemon Bottlebrush,37.7572288087602,-122.40193172517901,2016
302,1071,101710,Ulmus parvifolia :: Chinese Elm,37.7572288087602,-122.40193172517901,2016
314,1085,216741,Olea europaea 'Majestic Beauty' :: Majestic Beauty Fruitless Olive,37.719685546243895,-122.456034989421,2017
315,1086,216743,Olea europaea 'Majestic Beauty' :: Majestic Beauty Fruitless Olive,37.7197581053329,-122.45603763343901,2017
318,1093,115247,Platanus x hispanica :: Sycamore: London Plane,37.7964158497349,-122.411361881702,2016
321,1096,115246,Platanus x hispanica :: Sycamore: London Plane,37.7964158497349,-122.411361881702,2016
322,1097,115245,Platanus x hispanica :: Sycamore: London Plane,37.7964158497349,-122.411361881702,2016
330,1113,115022,Magnolia grandiflora :: Southern Magnolia,37.7209439262085,-122.427084589693,2016
331,1136,236267,Eriobotrya deflexa :: Bronze Loquat,37.76708301789029,-122.41664693661998,2017
332,1140,248958,Pinus Spp :: Pine Spp,37.7339807377795,-122.460308897898,2017
333,1143,106626,Maytenus boaria :: Mayten,37.765242684559105,-122.449777351607,2015
